"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,Brookstreet Bar-B-Que,"$$ • BBQ, Sandwiches",$$,29.7461299,-95.3914398
"Houston, TX",Houston,Lupe Tortilla,"$$ • Beverages, Salads",$$,29.7745943,-95.4098315
"Houston, TX",Houston,Earthcraft Juicery - W Gray,"$$ • Healthy, Juice Bars & Smoothies",$$,29.7527116,-95.4031586
"Houston, TX",Houston,Spanish Flowers,"$$ • Mexican, Breakfast",$$,29.7970599,-95.3818547
"Houston, TX",Houston,Dave's Hot Chicken,"$$ • Chicken, Halal",$$,29.746145,-95.3777029
"Houston, TX",Houston,Pluckers Wing Bar,"$$ • Wings, Chicken Wings",$$,29.7736142,-95.4092542
"Houston, TX",Houston,Pho Ben,"$$ • Vietnamese, Sandwiches",$$,29.78822355,-95.41058135
"Houston, TX",Houston,Bao Shi Yi,"$$ • Chinese, Dumplings",$$,29.732268,-95.418508
"Houston, TX",Houston,China Star-,"$$ • Chinese, Noodles",$$,29.8302932,-95.3797846
"Houston, TX",Houston,Wings of Houston,"$$ • Chicken Wings, Sandwiches",$$,29.7449867,-95.3820397
"Houston, TX",Houston,Papa Johns,"$$ • Pizza, Italian",$$,29.7478464,-95.3272023
"Houston, TX",Houston,Tepatitlan Inc,"$$ • Pickup, Mexican",$$,29.7982814,-95.3826266
"Houston, TX",Houston,TruuLove Cafe,"$$ • Coffee Shop, Ice Coffee",$$,29.7322428,-95.3757366
"Houston, TX",Houston,Tropical Smoothie Cafe,"$$ • Smoothies, Sandwiches",$$,29.7675136,-95.3915905
"Houston, TX",Houston,Connie’s Seafood,"$$ • Seafood, Soup",$$,29.7345337,-95.3065136
"Houston, TX",Houston,taqueria tikal,"$$ • Mexican, Burritos",$$,29.7444388,-95.3577556
"Houston, TX",Houston,Berryhill Baja Grill,"$$ • Tacos, Brunch",$$,29.7905435,-95.3897947
"Houston, TX",Houston,Tamashi Ramen and Sushi,"$$ • Asian, Sushi",$$,29.7064867,-95.4172076
"Houston, TX",Houston,Lifting Noodles Ramen,"$$ • Japanese, Ramen",$$,29.7485088,-95.378323
"Houston, TX",Houston,Ray's Real Pit BBQ Shack,"$$ • Barbecue, Pickup",$$,29.7029014,-95.3566245
"Houston, TX",Houston,Refresqueria El Caribeño,"$$ • Smoothies, Ice Cream",$$,29.7118789,-95.316327
"Houston, TX",Houston,Houston Breakfast Kitchen,$$ • Breakfast,$$,29.7226889,-95.3704827
"Houston, TX",Houston,Jus' Mac,"$$ • Sandwiches, Nachos",$$,29.7449825,-95.3820294
"Houston, TX",Houston,The Waffle Bus,"$$ • American, Sandwiches",$$,29.8024685,-95.4104406
"Houston, TX",Houston,Chicken Kitchen,"$$ • Chicken, Roti",$$,29.7177419,-95.4174318
"Houston, TX",Houston,BB's Tex-Orleans,"$$ • Breakfast, Sandwich",$$,29.7812665,-95.3880043
"Houston, TX",Houston,"7 Spice Cajun Seafood","$$ • Seafood, Chicken",$$,29.7132791,-95.3139672
"Houston, TX",Houston,Shipley Do-Nuts,"$$ • Comfort Food, Donuts",$$,29.8117452,-95.399731
"Houston, TX",Houston,Soul food vegan,"$$ • Vegan, Burgers",$$,29.7359872,-95.3634714
"Houston, TX",Houston,Lone Star Taco,"$$ • Tex-Mex, Sandwich",$$,29.760042,-95.362112
"Houston, TX",Houston,Voodoo Doughnut,"$$ • Breakfast, Sweets",$$,29.7446987,-95.3939142
"Houston, TX",Houston,GEN Korean BBQ House,"$$ • Pork, Asian",$$,29.74294,-95.3796225
"Houston, TX",Houston,The Burger Joint,"$$ • Milk Shakes, Salads",$$,29.7453953,-95.3911641
"Houston, TX",Houston,Insomnia Cookies,"$$ • Cookies, Dessert",$$,29.7177358,-95.417969
"Houston, TX",Houston,Katz's Deli & Bar,"$$ • Lunch, Dessert",$$,29.7448291,-95.389478
"Houston, TX",Houston,Andes Cafe,"$$ • Empanadas, Curry",$$,29.7662149,-95.3648839
"Houston, TX",Houston,Lost & Found,$$ • Lounges,$$,29.7534894,-95.3811265
"Houston, TX",Houston,JCI Grill,"$ • Hot Dogs, Burgers",$,29.8259513,-95.3795323
"Houston, TX",Houston,Purple Kow,"$$ • Juice Bar, Pickup",$$,29.7148377,-95.4179476
"Houston, TX",Houston,Fia's Pizzeria,"$ • Pizza, Takeout",$,29.7238537,-95.3876131
"Houston, TX",Houston,Twisted Grilled Cheese,"$$ • Wraps, Chicken",$$,29.7703302,-95.4179692
"Houston, TX",Houston,Cafe Express,"$ • Lunch, Sandwiches",$,29.7534785610155,-95.3996055693552
"Houston, TX",Houston,KFC,"$$ • American, Fried Chicken",$$,29.8112589,-95.3998637
"Houston, TX",Houston,Nam Eatery,"$$ • Vietnamese, Pho",$$,29.8038836,-95.3930201
"Houston, TX",Houston,Nekter Juice Bar,"$$ • American, Juice Bar",$$,29.7520678,-95.3772751
"Houston, TX",Houston,Howdy Hot Chicken,"$$ • Chicken, Halal",$$,29.7343856,-95.4109825
"Houston, TX",Houston,Nidda Thai Cuisine,"$$ • Pickup, Thai",$$,29.7445869,-95.3942435
"Houston, TX",Houston,Street Food Thai Market,"$$ • Asian, Thai",$$,29.8042275,-95.3851559
"Houston, TX",Houston,The Cookshack,"$$$ • Tacos, Salads",$$$,29.7698237,-95.4011651
"Houston, TX",Houston,Cyclone Anaya's,"$$ • Pickup, Bar and Grill",$$,29.7522488,-95.3768201
"Houston, TX",Houston,Zalat Pizza,"$$ • Dessert, Beverages",$$,29.7506765,-95.375564
"Houston, TX",Houston,El Kiosko,"$$ • Dessert, Juice Bar",$$,29.7293826,-95.310464
"Houston, TX",Houston,Local Poke-w34th,"$$ • Poke, Hawaiian",$$,29.7706734,-95.4069007
"Houston, TX",Houston,Bellagreen,"$ • Beverages, Ribs",$,29.790565,-95.388023
